,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,node_density_km,intersection_density_km,edge_density_km,street_density_km,PageRank Max,PageRank Min,Alpha,Beta,Gamma
São Paulo,6508,12834,3.9440688383527966,1307558.5530855795,101.88238686968829,3.1548862937922557,6101,1032024.5711005916,10092,102.26164993069675,1.0239570225286305,0.0004954419342053111,101.6875,95.328125,20430.60239196218,16125.383923446743,0.00048326483064071557,3.4172611895428184e-05,0.4862808392898317,1.9720344191763983,0.6575468798032585
Rio de Janeiro,4116,7721,3.751700680272109,863019.942201261,111.7756692398991,2.809037900874636,3419,637136.6355952135,5705,111.68039186594453,1.0961094763877601,0.001226993865030675,64.3125,53.421875,13484.686596894702,9955.259931175211,0.0008620110164461252,6.605583621235586e-05,0.43831287224990884,1.8758503401360545,0.6255874250526657
Atlanta,4079,10984,5.385633733758274,1407612.9962207181,128.15121961222852,3.103211571463594,3730,808008.787603967,6208,130.15605470424725,1.0284413530796208,0.0030605670103092783,63.734375,58.28125,21993.95306594872,12625.137306311985,0.0006623703353678369,7.110430166749936e-05,0.8470501655832209,2.692816866879137,0.8980459488185758
Manhattan,4128,8868,4.296511627906977,1020263.0188014328,115.04995701414443,3.545300387596899,3997,839847.3261776529,7182,116.93780648533179,1.0165577818979596,0.0,64.5,62.453125,15941.609668772388,13122.614471525827,0.000730528587880072,6.563251891516406e-05,0.5745970185432069,2.1482558139534884,0.7164323800290838
Barcelona,6199,11483,3.7047910953379577,1071871.4475243748,93.34419990632891,3.2624616873689303,5888,923779.3920633087,9954,92.80484147712565,1.02817760971165,0.0006027727546714888,96.859375,92.0,16747.991367568357,14434.053000989199,0.0006354311138897341,3.860363380678899e-05,0.4264504155571694,1.8523955476689788,0.6176644612984777
Madrid,8780,16804,3.827790432801822,1404126.1042068314,83.55903976474836,3.1990888382687928,8420,1166156.0277929888,13842,84.24765408127358,1.0362810088565473,0.001517121803207629,137.1875,131.5625,21939.47037823174,18221.18793426545,0.0003629139926969334,3.0009138921117757e-05,0.45713471945314726,1.913895216400911,0.6381104275841119
Buenos Aires,5561,11300,4.06401726308218,1224102.316514181,108.32763862957354,3.610861355871246,5454,1083098.8147636368,9889,109.5256158118755,1.0057624637286315,0.00020224491859642025,86.890625,85.21875,19126.598695534078,16923.418980681825,0.0005396558250518615,4.871221738767419e-05,0.5163263470360708,2.03200863154109,0.6775799004617138
London,11073,24699,4.461121647250068,1795751.5040598859,72.70543358273152,2.706041723110268,8953,1061981.1159134866,14838,71.57171558926315,1.0463470655863247,0.0022240194096239383,173.015625,139.890625,28058.617250935717,16593.454936148228,0.0003179364957631593,2.3207305282022938e-05,0.6154645228309471,2.230560823625034,0.7436545930810224
Beijing,3736,8465,4.531584582441114,1105043.5278555064,130.54264948086313,3.0562098501070665,3385,749337.7420677965,5574,134.43447112805822,1.0311487766412624,0.0007176175098672408,58.375,52.890625,17266.305122742287,11708.40221980932,0.0010142053313744357,7.354441290059394e-05,0.6334538636668006,2.265792291220557,0.7556686306016783
Paris,6767,13165,3.890941332939264,1205712.8924694245,91.58472407667486,3.1960987143490467,6485,986126.6582895403,10606,92.97818765694328,1.0201005219791959,0.0010371487837073355,105.734375,101.328125,18839.263944834758,15408.229035774068,0.0005750441231571241,3.334681081480281e-05,0.4729839603814029,1.945470666469632,0.6486819413648682
